"Provided by yucezhe.com. Please contact WeChat:yucezhekefu, QQ:2023046319 or contact@yucezhe.com if you have any question."
candle_begin_time,open,high,low,close,volume
2017-07-01 12:00:00,1.2,1.6479,0.5,1.135,1042731.0249194094
2017-07-02 00:00:00,1.1235,1.548,0.9406,1.548,1060797.502152739
2017-07-02 12:00:00,1.5291,3.2981,1.5,2.9103,1613126.9123654282
2017-07-03 00:00:00,2.9248,5.48,2.41,3.4599,1858851.923709862
2017-07-03 12:00:00,3.4599,4.8,3.3,4.017,1442456.731567093
2017-07-04 00:00:00,4.0201,4.1998,3.1,3.2031,1314344.7201630622
2017-07-04 12:00:00,3.2491,3.6,2.5501,3.12,2476258.3655239833
2017-07-05 00:00:00,3.1319,3.3121,2.6,2.742,1087670.1286145658
2017-07-05 12:00:00,2.742,3.04,2.72,2.8322,867357.5113714511
2017-07-06 00:00:00,2.822,3.5303,2.822,3.3,1675452.1473620234
2017-07-06 12:00:00,3.3,3.4,3.1,3.2499,625800.5115227351
2017-07-07 00:00:00,3.24,3.3214,2.755,2.77,956839.6644960974
2017-07-07 12:00:00,2.77,2.8799,2.6,2.6598,1065496.402518501
2017-07-08 00:00:00,2.6488,2.7596,2.01,2.0798,1721366.4653622734
2017-07-08 12:00:00,2.0761,2.53,2.0723,2.3957,1271369.8713379174
2017-07-09 00:00:00,2.3965,2.549,2.1201,2.36,1099809.9142344708
2017-07-09 12:00:00,2.3599,2.41,2.1775,2.2061,760949.2886740549
2017-07-10 00:00:00,2.2064,2.275,2.061,2.155,784436.822236542
2017-07-10 12:00:00,2.1694,2.179,1.234,1.6016,2774946.300184606
2017-07-11 00:00:00,1.6016,1.6798,1.3561,1.6553,3151509.8550820816
2017-07-11 12:00:00,1.66,1.78,1.4581,1.5,1744141.237126315
2017-07-12 00:00:00,1.5,1.698,1.398,1.6798,1369764.2004627797
2017-07-12 12:00:00,1.6764,2.0499,1.6231,1.985,1527124.3366827911
2017-07-13 00:00:00,1.978,1.988,1.7001,1.8056,729949.5369670668
2017-07-13 12:00:00,1.803,1.86,1.6048,1.6442,857162.9195707012
2017-07-14 00:00:00,1.649,1.7,1.5405,1.6228,516247.63301149
2017-07-14 12:00:00,1.6255,1.6389,1.4514,1.5189,1257662.99691788
2017-07-15 00:00:00,1.519,1.5274,1.3,1.4227,1453637.04558697
2017-07-15 12:00:00,1.4214,1.43,1.285,1.3,1054992.87583856
2017-07-16 00:00:00,1.2947,1.3294,1.1705,1.173,1168420.68134652
2017-07-16 12:00:00,1.18,1.2899,1.1336,1.244,1194520.57932112
2017-07-17 00:00:00,1.2323,1.479,1.217,1.3198,1432608.69429198
2017-07-17 12:00:00,1.3006,1.5789,1.2699,1.5551,1492729.56028112
2017-07-18 00:00:00,1.5706,1.5998,1.4569,1.5424,735081.13033864
2017-07-18 12:00:00,1.55,1.73,1.5343,1.653,1732268.4271663
2017-07-19 00:00:00,1.6527,1.7745,1.4656,1.704,1023528.35946684
2017-07-19 12:00:00,1.7,1.7089,1.4501,1.4936,1191625.06038066
2017-07-20 00:00:00,1.4851,1.68,1.4851,1.668,573296.47722544
2017-07-20 12:00:00,1.668,1.7499,1.631,1.7164,1044216.770993
2017-07-21 00:00:00,1.7164,1.9967,1.6694,1.88,1201814.46005437
2017-07-21 12:00:00,1.8899,1.9089,1.71,1.7988,760226.74432312
2017-07-22 00:00:00,1.7964,1.9996,1.7699,1.9543,701409.22746021
2017-07-22 12:00:00,1.9423,2.0983,1.89,2.0302,993080.96408374
2017-07-23 00:00:00,2.034,2.138,1.8003,1.833,1356542.10286289
2017-07-23 12:00:00,1.8319,2.0,1.8081,1.9294,773056.50071734
2017-07-24 00:00:00,1.9294,1.99,1.85,1.9213,596212.4810121
2017-07-24 12:00:00,1.9151,1.9329,1.8011,1.8789,782850.9499774
2017-07-25 00:00:00,1.87,1.8997,1.5721,1.6101,727226.10934536
2017-07-25 12:00:00,1.621,1.7129,1.5454,1.6511,1140738.54596941
2017-07-26 00:00:00,1.6689,1.68,1.4846,1.5647,868818.88316158
2017-07-26 12:00:00,1.564,1.7145,1.5207,1.6951,938873.37105174
2017-07-27 00:00:00,1.6988,1.8876,1.694,1.8242,983730.41183917
2017-07-27 12:00:00,1.8244,1.9794,1.7821,1.9156,694815.94032526
2017-07-28 00:00:00,1.9141,1.9899,1.8446,1.8865,1144827.26529865
2017-07-28 12:00:00,1.8864,1.8996,1.8014,1.8107,417642.11663556
2017-07-29 00:00:00,1.8113,1.8444,1.601,1.637,897808.81747955
2017-07-29 12:00:00,1.6376,1.8657,1.629,1.8336,835312.38010128
2017-07-30 00:00:00,1.85,1.8507,1.6746,1.7814,530024.64091062
2017-07-30 12:00:00,1.7879,1.812,1.743,1.7751,336097.95632835
