candle_end_time,open,close,high,low,volume
2020-08-22 08:00:00,2.8454,4.5124,4.5244,2.8,412174.13739576
2020-08-23 08:00:00,4.45,4.0525,4.49,3.73,72387.15546012
2020-08-24 08:00:00,3.9608,4.5616,4.8068,3.85,155406.53022897
2020-08-25 08:00:00,4.6008,5.5663,5.7745,4.5331,196568.06732059
2020-08-26 08:00:00,5.5997,6.0927,6.5531,5.1216,708247.58347428
2020-08-27 08:00:00,6.1086,5.6557,6.7962,5.2442,419914.11573258
2020-08-28 08:00:00,5.6984,6.1709,6.352,5.5196,528081.90646775
2020-08-29 08:00:00,6.1896,6.1437,6.57,6.025,385884.73367157
2020-08-30 08:00:00,6.1634,5.8566,6.2342,5.7242,174989.88438923
2020-08-31 08:00:00,5.9098,6.3071,6.47,5.7714,163816.62199478
2020-09-01 08:00:00,6.2964,6.25,6.859,6.1317,292558.16072672
2020-09-02 08:00:00,6.242,6.1326,6.4338,5.5869,261755.77991749
2020-09-03 08:00:00,6.1376,5.6901,6.3129,5.5716,344922.19229352
2020-09-04 08:00:00,5.7175,5.1399,5.975,4.512,517766.36076771
2020-09-05 08:00:00,5.1127,4.1578,5.3136,3.592,723703.8942763
2020-09-06 08:00:00,4.1192,4.801,4.917,3.75,365192.00416522
2020-09-07 08:00:00,4.8202,4.601,4.8202,4.0282,447472.034398
2020-09-08 08:00:00,4.6162,4.2738,4.6302,4.1217,242526.85709937
2020-09-09 08:00:00,4.2732,4.7007,4.7972,4.1493,162051.09829012
2020-09-10 08:00:00,4.7121,4.5794,4.9014,4.4474,173213.47412548
2020-09-11 08:00:00,4.616,4.6428,4.7466,4.3172,135200.40561245
2020-09-12 08:00:00,4.6581,5.1559,5.2991,4.5059,224685.43891362
2020-09-13 08:00:00,5.1476,5.296,5.4921,4.792,195246.894116
2020-09-14 08:00:00,5.3041,5.3483,5.587,5.0998,256709.7123061
2020-09-15 08:00:00,5.3721,5.062,5.4431,5.062,168105.66770351
2020-09-16 08:00:00,5.0507,5.0852,5.2948,4.98,111525.37354387
2020-09-17 08:00:00,5.0611,5.348,5.4337,5.0611,112417.40313524
2020-09-18 08:00:00,5.3347,5.2609,5.4691,5.1079,121369.69180325
2020-09-19 08:00:00,5.2597,4.9371,5.2597,4.812,133842.00099848
2020-09-20 08:00:00,4.9335,4.6743,4.972,4.4167,275451.44071074
2020-09-21 08:00:00,4.6677,4.0802,4.7015,3.932,565814.0006099
2020-09-22 08:00:00,4.062,4.1746,4.2227,3.9106,197343.61230448
2020-09-23 08:00:00,4.1683,4.0183,4.3312,3.95,148343.50852468
2020-09-24 08:00:00,3.9956,4.3992,4.4767,3.979,192138.80356192
2020-09-25 08:00:00,4.3963,4.4307,4.534,4.2551,88447.55079236
2020-09-26 08:00:00,4.4327,4.34,4.4848,4.2399,80802.79409732
2020-09-27 08:00:00,4.3321,4.3192,4.3685,4.1236,87204.77239782
2020-09-28 08:00:00,4.3188,4.4574,4.5947,4.2674,199684.93037199
2020-09-29 08:00:00,4.445,4.507,4.613,4.362,165354.60031429
2020-09-30 08:00:00,4.4975,4.3532,4.4975,4.2574,128655.89807912
2020-10-01 08:00:00,4.3593,4.3541,4.5914,4.2499,225982.12334612
2020-10-02 08:00:00,4.3216,4.1222,4.367,3.8994,362443.73985544
2020-10-03 08:00:00,4.1147,4.0733,4.134,4.0355,118773.89076044
2020-10-04 08:00:00,4.0689,4.1805,4.2,4.0244,169056.75036851
2020-10-05 08:00:00,4.1733,4.1692,4.2472,4.1154,94182.40511232
2020-10-06 08:00:00,4.1753,3.7521,4.1844,3.61,228419.61546285
2020-10-07 08:00:00,3.7436,3.8618,3.8924,3.6058,135393.96387078
2020-10-08 08:00:00,3.8618,4.1249,4.1611,3.6447,329284.86348728
2020-10-09 08:00:00,4.101,4.2644,4.3541,4.0225,258861.29024254
2020-10-10 08:00:00,4.2722,4.2608,4.49,4.2342,192991.0052258
2020-10-11 08:00:00,4.2649,4.2637,4.3338,4.1759,56895.39920892
2020-10-12 08:00:00,4.2504,4.317,4.46,4.2054,160201.33568903
