candle_end_time,open,close,high,low,volume
2016-03-09 08:00:00,10.297,11.197,11.197,10.097,41.169523
2016-03-10 08:00:00,11.072,11.75,11.85,11.072,1.03
2016-03-11 08:00:00,11.85,11.95,11.95,11.8,50.846991
2016-03-12 08:00:00,11.95,12.918,13.45,11.95,237.77704100000005
2016-03-13 08:00:00,13.45,14.456,15.074,13.45,379.2674689999997
2016-03-14 08:00:00,14.531,12.403,14.95,11.4,27906.023460199984
2016-03-15 08:00:00,12.42,13.1,13.421,11.98,13193.037191059999
2016-03-16 08:00:00,13.1,12.548,13.89,12.409,6127.952784010013
2016-03-17 08:00:00,12.548,11.06,12.62,10.436,26283.32875591992
2016-03-18 08:00:00,11.08,10.99,11.198,8.338,45397.8284726099
2016-03-19 08:00:00,10.99,10.573,11.17,9.776,20588.722359510015
2016-03-20 08:00:00,10.589,10.268,10.881,9.559,9578.361702900014
2016-03-21 08:00:00,10.219,11.8,12.048,10.14,11712.711932110005
2016-03-22 08:00:00,11.819,11.201,11.967,11.075,7852.6790955399965
2016-03-23 08:00:00,11.222,12.42,12.429,11.201,7704.358092319963
2016-03-24 08:00:00,12.44,11.18,12.47,10.679,14850.03308014002
2016-03-25 08:00:00,11.231,10.661,11.353,10.52,12480.832245849995
2016-03-26 08:00:00,10.661,11.012,11.2,10.58,4485.951880200003
2016-03-27 08:00:00,10.981,10.407,10.981,10.172,15987.420736560127
2016-03-28 08:00:00,10.446,11.7,11.938,10.4,22206.941354609935
2016-03-29 08:00:00,11.777,11.658,11.883,11.365,13840.373170230005
2016-03-30 08:00:00,11.615,11.848,12.3,11.5,10370.325854880004
2016-03-31 08:00:00,11.864,11.386,12.015,11.29,9481.144287970046
2016-04-01 08:00:00,11.391,11.624,11.942,11.391,6350.581607829994
2016-04-02 08:00:00,11.65,11.658,11.765,11.426,3477.601477719998
2016-04-03 08:00:00,11.61,11.61,11.76,11.4,5388.044783830003
2016-04-04 08:00:00,11.61,11.15,11.665,10.881,11117.23678044
2016-04-05 08:00:00,11.104,10.468,11.108,9.7,15369.582508680029
2016-04-06 08:00:00,10.47,10.62,10.962,10.2,11476.547756400034
2016-04-07 08:00:00,10.692,10.137,10.847,9.405,14509.448042719996
2016-04-08 08:00:00,10.06,9.71,10.34,9.6,7427.291234269996
2016-04-09 08:00:00,9.72,9.137,10.197,9.0,18728.017940269976
2016-04-10 08:00:00,9.204,8.931,9.43,7.52,53033.265972439876
2016-04-11 08:00:00,8.9299,8.699,8.9329,8.01,17442.149436779993
2016-04-12 08:00:00,8.65,7.52,8.65,7.211,18971.64388949004
2016-04-13 08:00:00,7.465,8.05,8.8,6.855,40687.42181473932
2016-04-14 08:00:00,8.053,8.47,8.86,8.0,10384.730499460013
2016-04-15 08:00:00,8.45,8.3199,8.69,8.1,8737.48772029996
2016-04-16 08:00:00,8.296,8.669,8.68,8.1829,9105.953085809986
2016-04-17 08:00:00,8.616,9.29,10.899,8.589,28076.27844329002
2016-04-18 08:00:00,9.29,9.03,9.55,8.441,10909.341337939992
2016-04-19 08:00:00,9.053,8.77,9.379,8.6501,10788.79011048
2016-04-20 08:00:00,8.7401,8.5054,9.047,8.3501,48865.75235020001
2016-04-21 08:00:00,8.5,8.189,8.8,8.0,12853.96265136998
2016-04-22 08:00:00,8.2247,7.9096,8.409,7.73,28068.271220669907
2016-04-23 08:00:00,7.909,8.399,8.8,7.807,26012.328731079975
2016-04-24 08:00:00,8.3484,8.1404,8.5,8.01,14892.63073637001
2016-04-25 08:00:00,8.1735,7.56,8.1735,7.3218,59567.2511765101
2016-04-26 08:00:00,7.56,7.42,7.599,7.1205,37192.76376265994
2016-04-27 08:00:00,7.398,7.837,7.99,7.314,26507.98546457998
