candle_end_time,open,close,high,low,volume
2020-09-19 08:00:00,6.5,5.7731,7.8711,5.3006,25393.33262991
2020-09-20 08:00:00,5.8605,5.2136,6.0093,4.6885,30665.86828054
2020-09-21 08:00:00,5.2087,4.308,5.6268,4.1,115142.52295696
2020-09-22 08:00:00,4.2683,3.918,4.5227,3.7121,86799.0305197
2020-09-23 08:00:00,3.9369,4.3641,5.3182,3.9369,82651.74877736
2020-09-24 08:00:00,4.31,5.1,5.25,4.31,40108.21392986
2020-09-25 08:00:00,5.1626,4.901,5.5677,4.7704,34082.12041001
2020-09-26 08:00:00,4.9408,4.7909,5.0,4.704,22923.81245288
2020-09-27 08:00:00,4.9,4.8293,5.198,4.7397,16941.67095336
2020-09-28 08:00:00,4.8707,4.2742,4.964,4.21,228113.09663916
2020-09-29 08:00:00,4.3215,4.3922,4.4,4.1493,21971.94058582
2020-09-30 08:00:00,4.3553,4.154,4.3553,3.9591,28073.17196964
2020-10-01 08:00:00,4.1742,4.2327,4.4957,3.9385,94850.67537465
2020-10-02 08:00:00,4.2351,3.8936,4.2351,3.59,75248.00091065
2020-10-03 08:00:00,3.9014,3.9,4.1137,3.8408,28417.95948451
2020-10-04 08:00:00,3.8842,3.7273,3.9389,3.6206,61182.28852913
2020-10-05 08:00:00,3.7302,3.3323,3.7928,3.1703,138233.8295466
2020-10-06 08:00:00,3.3215,2.6825,3.3215,2.6269,311751.99361653
2020-10-07 08:00:00,2.71,2.9626,3.0,2.4952,307649.02279213
2020-10-08 08:00:00,2.944,3.3429,3.46,2.652,223903.86350093
2020-10-09 08:00:00,3.3435,3.3843,3.6,3.1783,118532.49040667
2020-10-10 08:00:00,3.3942,3.3009,3.6476,3.2739,60168.3647648
2020-10-11 08:00:00,3.2982,3.3657,3.449,3.1906,38673.37762111
2020-10-12 08:00:00,3.3639,3.4594,3.5968,3.2919,60971.35867138
2020-10-13 08:00:00,3.4653,3.3527,3.5,3.2971,36498.27171025
2020-10-14 08:00:00,3.3599,3.1258,3.4343,2.9781,70937.9712659
2020-10-15 08:00:00,3.1105,3.0785,3.1715,2.922,73614.2674349
2020-10-16 08:00:00,3.0788,3.0378,3.3588,2.89,105225.4875633
2020-10-17 08:00:00,3.0455,3.0636,3.1197,2.9859,47982.41338511
2020-10-18 08:00:00,3.0592,3.2806,3.2864,3.0531,64482.97000198
2020-10-19 08:00:00,3.2723,3.169,3.2723,3.1188,37648.93912274
2020-10-20 08:00:00,3.1747,2.8613,3.185,2.739,170796.85747833
2020-10-21 08:00:00,2.8649,2.9417,3.0796,2.8476,77993.20731717
2020-10-22 08:00:00,2.9522,3.0412,3.1498,2.9331,36409.85648066
2020-10-23 08:00:00,3.0447,3.0099,3.12,2.9783,33874.86688573
2020-10-24 08:00:00,3.0111,2.9438,3.0786,2.9353,41079.25283609
2020-10-25 08:00:00,2.9411,2.7748,2.9712,2.724,59843.3741157
2020-10-26 08:00:00,2.7732,2.7147,2.8748,2.53,75193.79179392
2020-10-27 08:00:00,2.7151,2.823,2.9061,2.7026,55963.37081528
2020-10-28 08:00:00,2.7958,2.6663,2.852,2.5976,50944.507823680004
2020-10-29 08:00:00,2.6667,2.5355,2.7373,2.4893,55776.19905159
2020-10-30 08:00:00,2.5358,2.4204,2.5587,2.24,193318.70011295
2020-10-31 08:00:00,2.4162,2.2671,2.4162,2.2403,84432.80346958
2020-11-01 08:00:00,2.2671,2.3774,2.4529,2.2203,108807.66139692
2020-11-02 08:00:00,2.3916,2.2559,2.4524,2.23,78739.57991544
2020-11-03 08:00:00,2.2548,2.1354,2.2796,2.0606,81078.84769295
2020-11-04 08:00:00,2.1385,1.9286,2.1653,1.8777,98226.02675445
2020-11-05 08:00:00,1.9311,2.1882,2.4156,1.761,430831.46257319
2020-11-06 08:00:00,2.1832,2.5653,2.6918,2.1786,474456.91965439
2020-11-07 08:00:00,2.5648,2.4824,3.0184,2.4353,492792.93497367
2020-11-08 08:00:00,2.4738,2.8712,2.931,2.4371,154284.65376034
2020-11-09 08:00:00,2.8733,2.6777,2.8844,2.5832,107382.77586056
2020-11-10 08:00:00,2.6736,3.0825,3.1705,2.6277,205356.40950072
2020-11-11 08:00:00,3.0795,2.9431,3.2142,2.89,156004.27822769
2020-11-12 08:00:00,2.9403,2.9632,3.1233,2.8407,76103.30473799
2020-11-13 08:00:00,2.9665,3.8588,3.9928,2.9324,227197.19994999
2020-11-14 08:00:00,3.8111,3.8113,3.9588,3.5001,256464.29885772
2020-11-15 08:00:00,3.81,3.8484,4.2388,3.6046,282229.74008576
2020-11-16 08:00:00,3.8437,3.5699,3.9368,3.4567,278076.69891469
2020-11-17 08:00:00,3.564,3.8201,3.8566,3.4733,287583.49371416
2020-11-18 08:00:00,3.8144,3.4563,3.8462,3.2786,209061.64861971
2020-11-19 08:00:00,3.4606,3.7471,3.889,3.2306,209900.80683061
2020-11-20 08:00:00,3.7536,3.8502,4.0902,3.6808,209782.32036041
2020-11-21 08:00:00,3.8693,3.8398,3.94,3.5902,218614.62813086
2020-11-22 08:00:00,3.8342,3.6841,3.9298,3.4354,275919.33308892
2020-11-23 08:00:00,3.677,4.1773,4.2327,3.6265,253489.20830078
2020-11-24 08:00:00,4.1863,4.0555,4.4723,3.918,448301.32339511
2020-11-25 08:00:00,4.0584,3.6782,4.2043,3.52,205871.39600975
2020-11-26 08:00:00,3.6666,3.4388,3.7582,3.11,242274.18736305
2020-11-27 08:00:00,3.4423,3.3261,3.5506,3.1747,56094.162745480004
2020-11-28 08:00:00,3.3082,3.4701,3.5249,3.2698,33603.69628785
2020-11-29 08:00:00,3.4692,3.5398,3.573,3.3692,42915.13216194
2020-11-30 08:00:00,3.5731,3.7642,3.8151,3.5406,99190.8908843
2020-12-01 08:00:00,3.7733,3.5761,3.9958,3.4002,190474.63707953
2020-12-02 08:00:00,3.5451,3.9393,4.17,3.513,100185.57517647
2020-12-03 08:00:00,3.938,3.899,4.0237,3.8014,99602.85508853
2020-12-04 08:00:00,3.8819,3.5225,3.9148,3.5002,113288.20483226
2020-12-05 08:00:00,3.5162,3.6841,3.693,3.4477,64858.52053673
2020-12-06 08:00:00,3.6879,3.6491,3.7893,3.509,75966.7701714
2020-12-07 08:00:00,3.6635,3.7612,3.8774,3.5721,134808.49573003
2020-12-08 08:00:00,3.7623,3.2969,3.764,3.2854,113150.96603253
2020-12-09 08:00:00,3.2979,3.3572,3.3934,3.1339,79302.17876075
2020-12-10 08:00:00,3.3565,3.2441,3.3693,3.1834,56779.19889553
2020-12-11 08:00:00,3.2425,2.966,3.2443,2.9169,83946.02650236
